_M_Barrio_mut0,edu.uclm.esi.iso5.juegos.monopoly.dominio.Barrio,todasLasCallesPertenecenAlMismo,||,&&
_M_Calle_mut0,edu.uclm.esi.iso5.juegos.monopoly.dominio.Calle,getTasaPorCaer,==,!=
_M_Calle_mut1,edu.uclm.esi.iso5.juegos.monopoly.dominio.Calle,getTasaPorCaer,==,<
_M_Calle_mut2,edu.uclm.esi.iso5.juegos.monopoly.dominio.Calle,getTasaPorCaer,==,>
_M_Calle_mut3,edu.uclm.esi.iso5.juegos.monopoly.dominio.Calle,getTasaPorCaer,==,<=
_M_Calle_mut4,edu.uclm.esi.iso5.juegos.monopoly.dominio.Calle,getTasaPorCaer,==,>=
_M_Calle_mut5,edu.uclm.esi.iso5.juegos.monopoly.dominio.Calle,getTasaPorCaer,*,+
_M_Calle_mut6,edu.uclm.esi.iso5.juegos.monopoly.dominio.Calle,getTasaPorCaer,*,-
_M_Calle_mut7,edu.uclm.esi.iso5.juegos.monopoly.dominio.Calle,getTasaPorCaer,*,/
_M_Calle_mut8,edu.uclm.esi.iso5.juegos.monopoly.dominio.Calle,getTasaPorCaer,*,%
_M_Calle_mut9,edu.uclm.esi.iso5.juegos.monopoly.dominio.Calle,hipotecar,==,!=
_M_Calle_mut10,edu.uclm.esi.iso5.juegos.monopoly.dominio.Calle,hipotecar,==,<
_M_Calle_mut11,edu.uclm.esi.iso5.juegos.monopoly.dominio.Calle,hipotecar,==,>
_M_Calle_mut12,edu.uclm.esi.iso5.juegos.monopoly.dominio.Calle,hipotecar,==,<=
_M_Calle_mut13,edu.uclm.esi.iso5.juegos.monopoly.dominio.Calle,hipotecar,==,>=
_M_Calle_mut14,edu.uclm.esi.iso5.juegos.monopoly.dominio.Calle,hipotecar,/,+
_M_Calle_mut15,edu.uclm.esi.iso5.juegos.monopoly.dominio.Calle,hipotecar,/,-
_M_Calle_mut16,edu.uclm.esi.iso5.juegos.monopoly.dominio.Calle,hipotecar,/,*
_M_Calle_mut17,edu.uclm.esi.iso5.juegos.monopoly.dominio.Calle,hipotecar,/,%
