Mutant Variable Name,Mutated Class,Mutated Method,Original Binary Operator,Mutated Binary Operator
_mut0,org.apache.tools.zip.ZipLong,getValue_146,+,-
_mut1,org.apache.tools.zip.ZipLong,getValue_146,+,*
_mut2,org.apache.tools.zip.ZipLong,getValue_146,+,/
_mut3,org.apache.tools.zip.ZipLong,getValue_146,+,%
_mut4,org.apache.tools.zip.ZipLong,getValue_146,+,-
_mut5,org.apache.tools.zip.ZipLong,getValue_146,+,*
_mut6,org.apache.tools.zip.ZipLong,getValue_146,+,/
_mut7,org.apache.tools.zip.ZipLong,getValue_146,+,%
_mut8,org.apache.tools.zip.ZipLong,getValue_146,+,-
_mut9,org.apache.tools.zip.ZipLong,getValue_146,+,*
_mut10,org.apache.tools.zip.ZipLong,getValue_146,+,/
_mut11,org.apache.tools.zip.ZipLong,getValue_146,+,%
_mut12,org.apache.tools.zip.ZipLong,equals_169,||,&&
_mut13,org.apache.tools.zip.ZipLong,equals_169,==,!=
_mut14,org.apache.tools.zip.ZipLong,equals_169,==,<
_mut15,org.apache.tools.zip.ZipLong,equals_169,==,>
_mut16,org.apache.tools.zip.ZipLong,equals_169,==,<=
_mut17,org.apache.tools.zip.ZipLong,equals_169,==,>=
_mut18,org.apache.tools.zip.ZipShort,putShort_81,+,-
_mut19,org.apache.tools.zip.ZipShort,putShort_81,+,*
_mut20,org.apache.tools.zip.ZipShort,putShort_81,+,/
_mut21,org.apache.tools.zip.ZipShort,putShort_81,+,%
_mut22,org.apache.tools.zip.ZipShort,getValue_113,+,-
_mut23,org.apache.tools.zip.ZipShort,getValue_113,+,*
_mut24,org.apache.tools.zip.ZipShort,getValue_113,+,/
_mut25,org.apache.tools.zip.ZipShort,getValue_113,+,%
_mut26,org.apache.tools.zip.ZipShort,equals_134,||,&&
_mut27,org.apache.tools.zip.ZipShort,equals_134,==,!=
_mut28,org.apache.tools.zip.ZipShort,equals_134,==,<
_mut29,org.apache.tools.zip.ZipShort,equals_134,==,>
_mut30,org.apache.tools.zip.ZipShort,equals_134,==,<=
_mut31,org.apache.tools.zip.ZipShort,equals_134,==,>=
_mut32,org.apache.tools.zip.AbstractUnicodeExtraField,assembleData_75,+,-
_mut33,org.apache.tools.zip.AbstractUnicodeExtraField,assembleData_75,+,*
_mut34,org.apache.tools.zip.AbstractUnicodeExtraField,assembleData_75,+,/
_mut35,org.apache.tools.zip.AbstractUnicodeExtraField,assembleData_75,+,%
_mut36,org.apache.tools.zip.AbstractUnicodeExtraField,parseFromLocalFileData_162,<,==
_mut37,org.apache.tools.zip.AbstractUnicodeExtraField,parseFromLocalFileData_162,<,!=
_mut38,org.apache.tools.zip.AbstractUnicodeExtraField,parseFromLocalFileData_162,<,>
