Mutant Variable Name,Mutated Class,Mutated Method,Original Binary Operator,Mutated Binary Operator
_mut0,org.jfree.data.KeyedValues2DItemKey,compareTo_97,==,!=
_mut1,org.jfree.data.KeyedValues2DItemKey,compareTo_97,==,<
_mut2,org.jfree.data.KeyedValues2DItemKey,compareTo_97,==,>
_mut3,org.jfree.data.KeyedValues2DItemKey,compareTo_97,==,<=
_mut4,org.jfree.data.KeyedValues2DItemKey,compareTo_97,==,>=
_mut5,org.jfree.data.KeyedValues2DItemKey,hashCode_131,*,+
_mut6,org.jfree.data.KeyedValues2DItemKey,hashCode_131,*,-
_mut7,org.jfree.data.KeyedValues2DItemKey,hashCode_131,*,/
_mut8,org.jfree.data.KeyedValues2DItemKey,hashCode_131,*,%
_mut9,org.jfree.data.KeyedValues2DItemKey,hashCode_131,+,-
_mut10,org.jfree.data.KeyedValues2DItemKey,hashCode_131,+,*
_mut11,org.jfree.data.KeyedValues2DItemKey,hashCode_131,+,/
_mut12,org.jfree.data.KeyedValues2DItemKey,hashCode_131,+,%
_mut13,org.jfree.data.KeyedValues2DItemKey,hashCode_131,*,+
_mut14,org.jfree.data.KeyedValues2DItemKey,hashCode_131,*,-
_mut15,org.jfree.data.KeyedValues2DItemKey,hashCode_131,*,/
_mut16,org.jfree.data.KeyedValues2DItemKey,hashCode_131,*,%
_mut17,org.jfree.data.KeyedValues2DItemKey,hashCode_131,+,-
_mut18,org.jfree.data.KeyedValues2DItemKey,hashCode_131,+,*
_mut19,org.jfree.data.KeyedValues2DItemKey,hashCode_131,+,/
_mut20,org.jfree.data.KeyedValues2DItemKey,hashCode_131,+,%
_mut21,org.jfree.data.DataUtils,equal_74,!=,==
_mut22,org.jfree.data.DataUtils,equal_74,!=,<
_mut23,org.jfree.data.DataUtils,equal_74,!=,>
_mut24,org.jfree.data.DataUtils,equal_74,!=,<=
_mut25,org.jfree.data.DataUtils,equal_74,!=,>=
_mut26,org.jfree.data.DataUtils,equal_74,<,==
_mut27,org.jfree.data.DataUtils,equal_74,<,!=
_mut28,org.jfree.data.DataUtils,equal_74,<,>
_mut29,org.jfree.data.DataUtils,equal_74,<,<=
_mut30,org.jfree.data.DataUtils,equal_74,<,>=
_mut31,org.jfree.data.DataUtils,clone_101,<,==
_mut32,org.jfree.data.DataUtils,clone_101,<,!=
_mut33,org.jfree.data.DataUtils,clone_101,<,>
_mut34,org.jfree.data.DataUtils,clone_101,<,<=
_mut35,org.jfree.data.DataUtils,clone_101,<,>=
_mut36,org.jfree.data.DataUtils,calculateColumnTotal_123,<,==
_mut37,org.jfree.data.DataUtils,calculateColumnTotal_123,<,!=
_mut38,org.jfree.data.DataUtils,calculateColumnTotal_123,<,>
_mut39,org.jfree.data.DataUtils,calculateColumnTotal_123,<,<=
_mut40,org.jfree.data.DataUtils,calculateColumnTotal_123,<,>=
_mut41,org.jfree.data.DataUtils,calculateColumnTotal_148,<,==
_mut42,org.jfree.data.DataUtils,calculateColumnTotal_148,<,!=
_mut43,org.jfree.data.DataUtils,calculateColumnTotal_148,<,>
_mut44,org.jfree.data.DataUtils,calculateColumnTotal_148,<,<=
_mut45,org.jfree.data.DataUtils,calculateColumnTotal_148,<,>=
_mut46,org.jfree.data.DataUtils,calculateColumnTotal_148,<,==
_mut47,org.jfree.data.DataUtils,calculateColumnTotal_148,<,!=
_mut48,org.jfree.data.DataUtils,calculateColumnTotal_148,<,>
_mut49,org.jfree.data.DataUtils,calculateColumnTotal_148,<,<=
_mut50,org.jfree.data.DataUtils,calculateColumnTotal_148,<,>=
_mut51,org.jfree.data.DataUtils,calculateRowTotal_174,<,==
_mut52,org.jfree.data.DataUtils,calculateRowTotal_174,<,!=
_mut53,org.jfree.data.DataUtils,calculateRowTotal_174,<,>
_mut54,org.jfree.data.DataUtils,calculateRowTotal_174,<,<=
_mut55,org.jfree.data.DataUtils,calculateRowTotal_174,<,>=
_mut56,org.jfree.data.DataUtils,calculateRowTotal_199,<,==
_mut57,org.jfree.data.DataUtils,calculateRowTotal_199,<,!=
_mut58,org.jfree.data.DataUtils,calculateRowTotal_199,<,>
_mut59,org.jfree.data.DataUtils,calculateRowTotal_199,<,<=
_mut60,org.jfree.data.DataUtils,calculateRowTotal_199,<,>=
_mut61,org.jfree.data.DataUtils,calculateRowTotal_199,<,==
_mut62,org.jfree.data.DataUtils,calculateRowTotal_199,<,!=
_mut63,org.jfree.data.DataUtils,calculateRowTotal_199,<,>
_mut64,org.jfree.data.DataUtils,calculateRowTotal_199,<,<=
_mut65,org.jfree.data.DataUtils,calculateRowTotal_199,<,>=
_mut66,org.jfree.data.DataUtils,createNumberArray_224,<,==
_mut67,org.jfree.data.DataUtils,createNumberArray_224,<,!=
_mut68,org.jfree.data.DataUtils,createNumberArray_224,<,>
_mut69,org.jfree.data.DataUtils,createNumberArray_224,<,<=
_mut70,org.jfree.data.DataUtils,createNumberArray_224,<,>=
_mut71,org.jfree.data.DataUtils,createNumberArray2D_241,<,==
_mut72,org.jfree.data.DataUtils,createNumberArray2D_241,<,!=
_mut73,org.jfree.data.DataUtils,createNumberArray2D_241,<,>
_mut74,org.jfree.data.DataUtils,createNumberArray2D_241,<,<=
_mut75,org.jfree.data.DataUtils,createNumberArray2D_241,<,>=
_mut76,org.jfree.data.DataUtils,getCumulativePercentages_261,+,-
_mut77,org.jfree.data.DataUtils,getCumulativePercentages_261,+,*
_mut78,org.jfree.data.DataUtils,getCumulativePercentages_261,+,/
_mut79,org.jfree.data.DataUtils,getCumulativePercentages_261,+,%
_mut80,org.jfree.data.DataUtils,getCumulativePercentages_261,<,==
_mut81,org.jfree.data.DataUtils,getCumulativePercentages_261,<,!=
_mut82,org.jfree.data.DataUtils,getCumulativePercentages_261,<,>
_mut83,org.jfree.data.DataUtils,getCumulativePercentages_261,<,<=
_mut84,org.jfree.data.DataUtils,getCumulativePercentages_261,<,>=
_mut85,org.jfree.data.DataUtils,getCumulativePercentages_261,+,-
_mut86,org.jfree.data.DataUtils,getCumulativePercentages_261,+,*
_mut87,org.jfree.data.DataUtils,getCumulativePercentages_261,+,/
_mut88,org.jfree.data.DataUtils,getCumulativePercentages_261,+,%
_mut89,org.jfree.data.DataUtils,getCumulativePercentages_261,/,+
_mut90,org.jfree.data.DataUtils,getCumulativePercentages_261,/,-
_mut91,org.jfree.data.DataUtils,getCumulativePercentages_261,/,*
_mut92,org.jfree.data.DataUtils,getCumulativePercentages_261,/,%
_mut93,org.jfree.data.DataUtils,getCumulativePercentages_261,<,==
_mut94,org.jfree.data.DataUtils,getCumulativePercentages_261,<,!=
_mut95,org.jfree.data.DataUtils,getCumulativePercentages_261,<,>
_mut96,org.jfree.data.DataUtils,getCumulativePercentages_261,<,<=
_mut97,org.jfree.data.DataUtils,getCumulativePercentages_261,<,>=
_mut98,org.jfree.data.DefaultKeyedValues,getValue_183,<,==
_mut99,org.jfree.data.DefaultKeyedValues,getValue_183,<,!=
_mut100,org.jfree.data.DefaultKeyedValues,getValue_183,<,>
_mut101,org.jfree.data.DefaultKeyedValues,getValue_183,<,<=
_mut102,org.jfree.data.DefaultKeyedValues,getValue_183,<,>=
_mut103,org.jfree.data.DefaultKeyedValues,setValue_232,>=,==
_mut104,org.jfree.data.DefaultKeyedValues,setValue_232,>=,!=
_mut105,org.jfree.data.DefaultKeyedValues,setValue_232,>=,<
_mut106,org.jfree.data.DefaultKeyedValues,setValue_232,>=,>
_mut107,org.jfree.data.DefaultKeyedValues,setValue_232,>=,<=
_mut108,org.jfree.data.DefaultKeyedValues,setValue_232,-,+
_mut109,org.jfree.data.DefaultKeyedValues,setValue_232,-,*
_mut110,org.jfree.data.DefaultKeyedValues,setValue_232,-,/
_mut111,org.jfree.data.DefaultKeyedValues,setValue_232,-,%
_mut112,org.jfree.data.DefaultKeyedValues,insertValue_272,<,==
_mut113,org.jfree.data.DefaultKeyedValues,insertValue_272,<,!=
_mut114,org.jfree.data.DefaultKeyedValues,insertValue_272,<,>
_mut115,org.jfree.data.DefaultKeyedValues,insertValue_272,<,<=
_mut116,org.jfree.data.DefaultKeyedValues,insertValue_272,<,>=
_mut117,org.jfree.data.DefaultKeyedValues,insertValue_272,>,==
_mut118,org.jfree.data.DefaultKeyedValues,insertValue_272,>,!=
_mut119,org.jfree.data.DefaultKeyedValues,insertValue_272,>,<
_mut120,org.jfree.data.DefaultKeyedValues,insertValue_272,>,<=
_mut121,org.jfree.data.DefaultKeyedValues,insertValue_272,>,>=
_mut122,org.jfree.data.DefaultKeyedValues,insertValue_272,||,&&
_mut123,org.jfree.data.DefaultKeyedValues,insertValue_272,==,!=
_mut124,org.jfree.data.DefaultKeyedValues,insertValue_272,==,<
_mut125,org.jfree.data.DefaultKeyedValues,insertValue_272,==,>
_mut126,org.jfree.data.DefaultKeyedValues,insertValue_272,==,<=
_mut127,org.jfree.data.DefaultKeyedValues,insertValue_272,==,>=
_mut128,org.jfree.data.DefaultKeyedValues,insertValue_272,>=,==
_mut129,org.jfree.data.DefaultKeyedValues,insertValue_272,>=,!=
_mut130,org.jfree.data.DefaultKeyedValues,insertValue_272,>=,<
_mut131,org.jfree.data.DefaultKeyedValues,insertValue_272,>=,>
_mut132,org.jfree.data.DefaultKeyedValues,insertValue_272,>=,<=
_mut133,org.jfree.data.DefaultKeyedValues,rebuildIndex_298,<,==
_mut134,org.jfree.data.DefaultKeyedValues,rebuildIndex_298,<,!=
_mut135,org.jfree.data.DefaultKeyedValues,rebuildIndex_298,<,>
_mut136,org.jfree.data.DefaultKeyedValues,rebuildIndex_298,<,<=
_mut137,org.jfree.data.DefaultKeyedValues,rebuildIndex_298,<,>=
_mut138,org.jfree.data.DefaultKeyedValues,removeValue_330,<,==
_mut139,org.jfree.data.DefaultKeyedValues,removeValue_330,<,!=
_mut140,org.jfree.data.DefaultKeyedValues,removeValue_330,<,>
_mut141,org.jfree.data.DefaultKeyedValues,removeValue_330,<,<=
_mut142,org.jfree.data.DefaultKeyedValues,removeValue_330,<,>=
_mut143,org.jfree.data.DefaultKeyedValues,sortByKeys_355,<,==
_mut144,org.jfree.data.DefaultKeyedValues,sortByKeys_355,<,!=
_mut145,org.jfree.data.DefaultKeyedValues,sortByKeys_355,<,>
_mut146,org.jfree.data.DefaultKeyedValues,sortByKeys_355,<,<=
_mut147,org.jfree.data.DefaultKeyedValues,sortByKeys_355,<,>=
_mut148,org.jfree.data.DefaultKeyedValues,sortByKeys_355,<,==
_mut149,org.jfree.data.DefaultKeyedValues,sortByKeys_355,<,!=
_mut150,org.jfree.data.DefaultKeyedValues,sortByKeys_355,<,>
_mut151,org.jfree.data.DefaultKeyedValues,sortByKeys_355,<,<=
_mut152,org.jfree.data.DefaultKeyedValues,sortByKeys_355,<,>=
_mut153,org.jfree.data.DefaultKeyedValues,sortByValues_382,<,==
_mut154,org.jfree.data.DefaultKeyedValues,sortByValues_382,<,!=
_mut155,org.jfree.data.DefaultKeyedValues,sortByValues_382,<,>
_mut156,org.jfree.data.DefaultKeyedValues,sortByValues_382,<,<=
_mut157,org.jfree.data.DefaultKeyedValues,sortByValues_382,<,>=
_mut158,org.jfree.data.DefaultKeyedValues,sortByValues_382,<,==
_mut159,org.jfree.data.DefaultKeyedValues,sortByValues_382,<,!=
_mut160,org.jfree.data.DefaultKeyedValues,sortByValues_382,<,>
_mut161,org.jfree.data.DefaultKeyedValues,sortByValues_382,<,<=
_mut162,org.jfree.data.DefaultKeyedValues,sortByValues_382,<,>=
_mut163,org.jfree.data.DefaultKeyedValues,equals_408,!=,==
_mut164,org.jfree.data.DefaultKeyedValues,equals_408,!=,<
_mut165,org.jfree.data.DefaultKeyedValues,equals_408,!=,>
_mut166,org.jfree.data.DefaultKeyedValues,equals_408,!=,<=
_mut167,org.jfree.data.DefaultKeyedValues,equals_408,!=,>=
_mut168,org.jfree.data.DefaultKeyedValues,equals_408,<,==
_mut169,org.jfree.data.DefaultKeyedValues,equals_408,<,!=
_mut170,org.jfree.data.DefaultKeyedValues,equals_408,<,>
_mut171,org.jfree.data.DefaultKeyedValues,equals_408,<,<=
_mut172,org.jfree.data.DefaultKeyedValues,equals_408,<,>=
_mut173,org.jfree.data.DefaultKeyedValue,hashCode_146,*,+
_mut174,org.jfree.data.DefaultKeyedValue,hashCode_146,*,-
_mut175,org.jfree.data.DefaultKeyedValue,hashCode_146,*,/
_mut176,org.jfree.data.DefaultKeyedValue,hashCode_146,*,%
_mut177,org.jfree.data.DefaultKeyedValue,hashCode_146,+,-
_mut178,org.jfree.data.DefaultKeyedValue,hashCode_146,+,*
_mut179,org.jfree.data.DefaultKeyedValue,hashCode_146,+,/
_mut180,org.jfree.data.DefaultKeyedValue,hashCode_146,+,%
_mut181,org.jfree.data.KeyedObjects,getObject_166,<,==
_mut182,org.jfree.data.KeyedObjects,getObject_166,<,!=
_mut183,org.jfree.data.KeyedObjects,getObject_166,<,>
_mut184,org.jfree.data.KeyedObjects,getObject_166,<,<=
_mut185,org.jfree.data.KeyedObjects,getObject_166,<,>=
_mut186,org.jfree.data.KeyedObjects,setObject_198,>=,==
_mut187,org.jfree.data.KeyedObjects,setObject_198,>=,!=
_mut188,org.jfree.data.KeyedObjects,setObject_198,>=,<
_mut189,org.jfree.data.KeyedObjects,setObject_198,>=,>
_mut190,org.jfree.data.KeyedObjects,setObject_198,>=,<=
_mut191,org.jfree.data.KeyedObjects,insertValue_222,<,==
_mut192,org.jfree.data.KeyedObjects,insertValue_222,<,!=
_mut193,org.jfree.data.KeyedObjects,insertValue_222,<,>
_mut194,org.jfree.data.KeyedObjects,insertValue_222,<,<=
_mut195,org.jfree.data.KeyedObjects,insertValue_222,<,>=
_mut196,org.jfree.data.KeyedObjects,insertValue_222,>,==
